video_id,question,answer,answer_type
video0,what is clicking first?,settings,what
video0,what is done to proxy?,scroll up,what
video0,what is this video about?,port field has incorrect focus in proxy configuration,what
video1,what is clicking first?,add podcast,what
video1,what is clicking?,search fyyd,what
video1,what is clicking after add podcast?,search fyyd,what
video1,what is done to search fyyd button?,clicking,what
video1,what is done to add podcast button?,clicking,what
video1,what is typing?,music,what
video1,where to click on the first item,in list,where
video1,what button is clicking?,subscribe,what
video1,what is done to subscribe button?,clicking,what
video1,what is clicking after clicking the first item on the list?,subscribe button,what
video1,what is clicking after clicking subscribe button?,subscribe button,what
video1,what is this video about?,date for uploaded podcast is the same for all the podcast,what
video2,what is done to open podcast button?,clicking,what
video2,what is clicking first?,subscription,what
video2,what is this video about?,color of number of podcast per subscription is semi-transparent red color,what
video3,"what is the purpose of clicking the ""settings"" and ""opml export"" items?",export a file,what
video3,"where do you find the ""settings"" and ""opml export"" item?",menu,where
video3,what is this video about?,there is an error while exporting data (opml),what
video4,what is this video about?,application crashes when importing a podcast (opml),what
video4,what is the first step to import an opml file?,"the first step to import an opml file is to click ""add podcast"".",what
video5,"what is the purpose of clicking on the ""settings"" button?",to access the application's settings menu,what
video5,what is this video about?,proxy configuration crashes the app,what
video5,"what option should you select after scrolling up to ""proxy""?","click on the ""proxy"" item.",what
video5,how do you access the settings menu in the mobile application?,"click on the ""settings"" button",how
video5,how do you change the proxy settings?,"click on the ""proxy"" item after scrolling up to it in the settings menu.",how
video5,"where can you find the ""proxy"" option?","clicking on the ""settings"" button and scrolling up to it.",where
video5,where do you need to go to change the proxy settings in the mobile application?,"go to the settings menu and click on the ""proxy"" item",where
video5,"when should you click on the ""settings"" button in the mobile application?","click on the ""settings"" button when you want to access the application's settings menu",when
video6,what is the first button you need to click when adding a podcast?,"click on the ""add podcast"" button",what
video6,"what is the purpose of clicking the ""subscribe"" button?",to subscribe to the selected podcast and receive new episodes automatically,what
video6,what is this video about?,sleeping time option is crashing the app,what
video6,"what is the purpose of clicking the ""stream"" button?",to start streaming the selected podcast episode,what
video6,"what is the purpose of clicking the ""zzz"" button?",snooze,what
video6,how do you add a podcast in the mobile application?,"lick on the ""add podcast"" button, then click on ""search itunes"" and select the desired podcast from the results. click on the ""subscribe"" button and then ""open podcast"". finally, select an episode from the list and click on ""stream"" to start listening",how
video6,how do you subscribe to a podcast?,"after selecting a podcast from the search results, click on the ""subscribe"" button to start receiving new episodes automatically.",how
video6,how do you start streaming a podcast episode?,"select an episode from the podcast's episode list and click on the ""stream"" button.",how
video6,"where is the ""add podcast"" button located in the mobile application","the ""add podcast"" button is located in the application's podcast menu",where
video6,where do you need to go to select a podcast to subscribe to in the mobile application?,"click on the ""search itunes"" button after clicking on ""add podcast"" to search for and select a podcast to subscribe to.",where
video6,where can you find the podcast episodes list?,"after subscribing to a podcast, click on ""open podcast"" to access the list of available episodes.",where
video6,"where is the ""zzz"" button located in the mobile application",top right corner,where
video6,"when should you click on the ""add podcast"" button?",when you want to add a new podcast to your subscriptions,when
video6,"when should you click on the ""subscribe"" button?",after selecting a podcast to subscribe to and start receiving new episodes automatically.,when
video7,"what is the purpose of clicking the ""search"" icon?",to activate the search function and type in a keyword to search for podcasts,what
